config_implementation,config_dtype,config_sequence_length,config_d_model,status,forward_mean_seconds,backward_mean_seconds
flash_triton,fp32,16384,64,ok,0.02196290604013484,3.7158064921590266
flash_triton,fp32,256,128,ok,0.005719479540421162,0.0057619825599249455
flash_triton,fp32,1024,128,ok,0.0057728125611902215,0.015021396879747044
flash_triton,fp32,4096,128,ok,0.006597484801604878,0.2506758613899001
flash_triton,fp32,8192,128,ok,0.01512695975950919,1.0036272507000832
flash_triton,fp32,16384,128,ok,0.059745424171560445,3.8189227679301982
naive,fp32,256,16,ok,0.006518767251109238,0.00857127963914536
naive,fp32,1024,16,ok,0.00610127516934881,0.004081975258304738
naive,fp32,4096,16,ok,0.021683437589090318,0.021134849711088463
naive,fp32,8192,16,ok,0.0828889036536566,0.07099454421986592
naive,fp32,16384,16,oom,,
naive,fp32,256,32,ok,0.007729854768840596,0.0062290911178570245
naive,fp32,1024,32,ok,0.005815279699745588,0.005220284301321954
naive,fp32,4096,32,ok,0.022274214640201535,0.021611407328455245
naive,fp32,8192,32,ok,0.061738605998980345,0.06957061667897506
naive,fp32,16384,32,oom,,
naive,fp32,256,64,ok,0.005271165658195969,0.0033471092401305214
naive,fp32,1024,64,ok,0.0052916069989441894,0.005371073821152095
naive,fp32,4096,64,ok,0.020126517231110485,0.020552336963301058
naive,fp32,8192,64,ok,0.07324413033929886,0.06937195082980907
naive,fp32,16384,64,oom,,
naive,fp32,256,128,ok,0.0063788908015703786,0.0045680225803516805
naive,fp32,1024,128,ok,0.0013876754292869008,0.004397236880322453
naive,fp32,4096,128,ok,0.02088705504022073,0.029529353879624978
naive,fp32,8192,128,ok,0.07920737415086478,0.12438728608132806
naive,fp32,16384,128,oom,,
